id,parentId,name,description,url
1,,大鱼 Bi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.webp,/movie/1291545/
2,1,艾伦妮·泰,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1382247299.96.webp,/people/1315098/
3,2,尖峰时刻 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220721953.webp,/movie/1292624/
4,3,布莱特·拉,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1382690025.22.webp,/people/1002732/
5,4,尖峰时刻3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1968854256.webp,/movie/1422106/
6,5,工藤夕贵 ,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1356678069.99.webp,/people/1014169/
10,3,爱万 Ai,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1375073223.66.webp,/people/1009796/
11,10,越空追击 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173275407.webp,/movie/1303484/
12,11,Nicho,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p24242.webp,/people/1055139/
16,3,伊丽莎白·,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p14919.webp,/people/1027857/
17,16,流入山谷 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2357052577.webp,/movie/1484348/
18,17,吉尔·巴塞,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/pMvGo8n4rnBocel_avatar_uploaded1521102119.05.webp,/people/1390141/
21,16,浪子回头妙,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374564589.webp,/movie/1758626/
22,21,卡斯·莱蒙,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1487799187.97.webp,/people/1032369/
25,16,一球成名2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1793019216.webp,/movie/1951105/
26,25,佐米·希尔,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p20263.webp,/people/1214705/
30,3,汤姆·威尔,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p53270.webp,/people/1036397/
31,30,黑夜幽灵 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2527764888.webp,/movie/1299829/
32,31,方·基默 ,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p5130.webp,/people/1013761/
35,30,口是心非 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p776823062.webp,/movie/2968611/
