"filename", "language", "Python", "Markdown", "YAML", "pip requirements", "HTML", "CSS", "JavaScript", "SCSS", "Log", "XML", "comment", "blank", "total"
"f:\code\Project\django-ecommerce-master\requirements.txt", "pip requirements", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"f:\code\Project\django-ecommerce-master\static_in_env\css\addons\datatables-select.css", "CSS", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 17, 30, 132
"f:\code\Project\django-ecommerce-master\static_in_env\css\addons\datatables-select.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\css\addons\datatables.css", "CSS", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 15, 24, 148
"f:\code\Project\django-ecommerce-master\static_in_env\css\addons\datatables.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\css\addons\directives.css", "CSS", 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 14, 392
"f:\code\Project\django-ecommerce-master\static_in_env\css\addons\directives.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 8832, 0, 0, 0, 0, 7, 1199, 10038
"f:\code\Project\django-ecommerce-master\static_in_env\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"f:\code\Project\django-ecommerce-master\static_in_env\css\default.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"f:\code\Project\django-ecommerce-master\static_in_env\css\mdb.css", "CSS", 0, 0, 0, 0, 0, 7559, 0, 0, 0, 0, 52, 1023, 8634
"f:\code\Project\django-ecommerce-master\static_in_env\css\mdb.lite.css", "CSS", 0, 0, 0, 0, 0, 5446, 0, 0, 0, 0, 41, 824, 6311
"f:\code\Project\django-ecommerce-master\static_in_env\css\mdb.lite.min.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 35, 0, 38
"f:\code\Project\django-ecommerce-master\static_in_env\css\mdb.min.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 40, 0, 44
"f:\code\Project\django-ecommerce-master\static_in_env\css\modules\animations-extended.css", "CSS", 0, 0, 0, 0, 0, 2113, 0, 0, 0, 0, 16, 199, 2328
"f:\code\Project\django-ecommerce-master\static_in_env\css\modules\animations-extended.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"f:\code\Project\django-ecommerce-master\static_in_env\css\movie_year_view_1.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 11, 58
"f:\code\Project\django-ecommerce-master\static_in_env\css\relationship_view_people.css", "CSS", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 10, 52
"f:\code\Project\django-ecommerce-master\static_in_env\css\style.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 4, 24
"f:\code\Project\django-ecommerce-master\static_in_env\css\style.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\img\lightbox\default-skin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\img\svg\arrow_left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"f:\code\Project\django-ecommerce-master\static_in_env\img\svg\arrow_right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"f:\code\Project\django-ecommerce-master\static_in_env\js\addons\datatables-select.js", "JavaScript", 0, 0, 0, 0, 0, 0, 719, 0, 0, 0, 266, 196, 1181
"f:\code\Project\django-ecommerce-master\static_in_env\js\addons\datatables-select.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"f:\code\Project\django-ecommerce-master\static_in_env\js\addons\datatables.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6463, 0, 0, 0, 7026, 2012, 15501
"f:\code\Project\django-ecommerce-master\static_in_env\js\addons\datatables.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"f:\code\Project\django-ecommerce-master\static_in_env\js\addons\rating.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 12, 54
"f:\code\Project\django-ecommerce-master\static_in_env\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3262, 0, 0, 0, 332, 842, 4436
"f:\code\Project\django-ecommerce-master\static_in_env\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"f:\code\Project\django-ecommerce-master\static_in_env\js\jquery-3.3.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"f:\code\Project\django-ecommerce-master\static_in_env\js\jquery-3.5.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"f:\code\Project\django-ecommerce-master\static_in_env\js\mdb.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11025, 0, 0, 0, 2336, 2447, 15808
"f:\code\Project\django-ecommerce-master\static_in_env\js\mdb.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\chart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10165, 0, 0, 0, 2134, 2158, 14457
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\default-file-input.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\enhanced-modals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 5, 28
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\forms-free.js", "JavaScript", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 2, 64, 208
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\jquery.easing.js", "JavaScript", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 70, 3, 205
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\scrolling-navbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 7, 21
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\treeview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\velocity.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\velocity.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\waves.js", "JavaScript", 0, 0, 0, 0, 0, 0, 387, 0, 0, 0, 81, 135, 603
"f:\code\Project\django-ecommerce-master\static_in_env\js\modules\wow.js", "JavaScript", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 67, 209
"f:\code\Project\django-ecommerce-master\static_in_env\js\movie_year_view_1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 89, 63, 343
"f:\code\Project\django-ecommerce-master\static_in_env\js\popper.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"f:\code\Project\django-ecommerce-master\static_in_env\js\relationship_view_movie.js", "JavaScript", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 73, 95, 348
"f:\code\Project\django-ecommerce-master\static_in_env\js\relationship_view_people.js", "JavaScript", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 73, 106, 359
"f:\code\Project\django-ecommerce-master\static_in_env\js\rotate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 53, 50, 150
"f:\code\Project\django-ecommerce-master\static_in_env\libs\FileSaver.js", "JavaScript", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 26, 11, 189
"f:\code\Project\django-ecommerce-master\static_in_env\libs\canvas-to-blob.js", "JavaScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 20, 4, 112
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3-dsv.v1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 5, 26, 169
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3-geo-projection.v1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3-request.v1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 114, 15, 216
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3-scale-chromatic.v1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3-selection.v1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 804, 0, 0, 0, 14, 155, 973
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4002, 0, 0, 0, 11536, 690, 16228
"f:\code\Project\django-ecommerce-master\static_in_env\libs\d3.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6, 0, 8
"f:\code\Project\django-ecommerce-master\static_in_env\libs\dat.gui.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"f:\code\Project\django-ecommerce-master\static_in_env\libs\lodash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5825, 0, 0, 0, 9942, 967, 16734
"f:\code\Project\django-ecommerce-master\static_in_env\libs\npm-debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"f:\code\Project\django-ecommerce-master\static_in_env\libs\topojson.v2.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\code\Project\django-ecommerce-master\static_in_env\scss\_custom-skin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 2, 26
"f:\code\Project\django-ecommerce-master\static_in_env\scss\_custom-styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\scss\_custom-variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"f:\code\Project\django-ecommerce-master\static_in_env\scss\addons\_datatables-select.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 17, 5, 171
"f:\code\Project\django-ecommerce-master\static_in_env\scss\addons\_datatables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 15, 6, 195
"f:\code\Project\django-ecommerce-master\static_in_env\scss\addons\_directives.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 9, 7, 81
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 821, 0, 0, 9, 41, 871
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 9, 10, 127
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_helpers.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 4, 18, 86
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_masks.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 5, 5, 79
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 438, 0, 0, 56, 47, 541
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 5, 13, 140
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 28, 47, 379
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\_waves.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 7, 22, 164
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\bootstrap\_functions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 19, 14, 87
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\bootstrap\_rfs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 43, 35, 204
"f:\code\Project\django-ecommerce-master\static_in_env\scss\core\bootstrap\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 756, 0, 0, 100, 268, 1124
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_animations-basic.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 7, 39, 208
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_badges.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 2, 13, 163
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 1, 34
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_carousels.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 1, 51
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_depreciated.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_dropdowns.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 1, 11
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_footers.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 0, 18
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 443, 0, 0, 17, 84, 544
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_input-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 1, 10, 88
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_list-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 7, 35
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_loader.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_modals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 21, 3, 288
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_msc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 3, 26, 147
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_navbars.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 1, 1, 100
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 1, 1, 85
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_steppers.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 3, 27, 190
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 52
