"filename", "language", "Python", "Markdown", "YAML", "pip requirements", "HTML", "CSS", "JavaScript", "SCSS", "Log", "XML", "comment", "blank", "total"
"f:\code\Project\django-ecommerce-master\templates\order_snippet.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"f:\code\Project\django-ecommerce-master\templates\order_summary.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 58
"f:\code\Project\django-ecommerce-master\templates\payment.html", "HTML", 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 49, 264
"f:\code\Project\django-ecommerce-master\templates\people.html", "HTML", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 26, 29, 174
"f:\code\Project\django-ecommerce-master\templates\people_detail.html", "HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 18, 35, 164
"f:\code\Project\django-ecommerce-master\templates\product.html", "HTML", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 20, 57, 237
"f:\code\Project\django-ecommerce-master\templates\relationship_view_movie.html", "HTML", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 20, 32, 175
"f:\code\Project\django-ecommerce-master\templates\relationship_view_people.html", "HTML", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 14, 29, 166
"f:\code\Project\django-ecommerce-master\templates\request_refund.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\code\Project\django-ecommerce-master\templates\scripts.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"f:\code\Project\django-ecommerce-master\templates\socialaccount\authentication_error.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"f:\code\Project\django-ecommerce-master\templates\socialaccount\base.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\code\Project\django-ecommerce-master\templates\socialaccount\connections.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 17, 55
"f:\code\Project\django-ecommerce-master\templates\socialaccount\login_cancelled.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 16
"f:\code\Project\django-ecommerce-master\templates\socialaccount\signup.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"f:\code\Project\django-ecommerce-master\templates\socialaccount\snippets\login_extra.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"f:\code\Project\django-ecommerce-master\templates\socialaccount\snippets\provider_list.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"f:\code\Project\django-ecommerce-master\test.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"Total", "-", 1636, 52, 1, 22, 1847, 24646, 44242, 6539, 27, 9, 35251, 15582, 129854
