10604892	1302867
10733376	26707077
10763157	4111346
10763164	24736526
10764042	1862185
10772258	6984061
1291543	1291543
1291543	1291543
1291543	25798222
1291543	26828019
1291543	30299292
1291847	1291847
1291847	1291847
1291847	1298846
1291847	1322851
1291847	2059225
1292450	1765848
1292506	3670447
1292624	2244265
1292633	1306105
1292659	1294691
1293098	1298846
1293098	1302424
1293098	2330215
1293098	25964071
1293098	4903625
1293147	1295344
1293147	1295409
1293147	1298272
1293147	1307100
1293147	3148571
1293315	1299828
1294159	1294159
1294159	1294159
1294159	1298603
1294159	1308345
1294159	1308393
1294159	22759752
1294208	1313473
1294208	1438024
1294208	1864740
1294208	2028870
1294208	6008290
1294279	1308355
1294671	1304420
1294671	1305667
1294671	1307762
1294671	27037539
1294671	5355365
1294691	1292659
1294691	1305180
1294691	1401573
1294691	1869829
1294691	2311802
1294713	1300389
1294713	1305225
1294713	1960298
1294713	23126901
1294713	26605946
1295316	1795594
1295344	1293147
1295344	1303184
1295344	1401684
1295344	1419918
1295344	1441602
1295344	20452308
1295374	2080422
1295374	4903625
1295409	1293147
1295409	1296519
1295409	1303394
1295409	1307221
1295409	2139286
1295419	2244265
1295469	1303987
1295469	1306105
1295469	2244265
1295469	2364091
1295469	5413772
1295570	1299998
1295570	1301185
1295570	1304820
1295570	1305625
1295570	1307456
1295675	1299828
1295675	1304465
1295987	1863361
1296089	1890784
1296436	26426099
1296436	6221409
1296519	1295409
1296519	1304465
1296629	1666889
1296700	1310159
1297747	1308034
1297747	2124718
1297747	2139418
1297747	30299292
1297747	5044748
1297854	1298898
1297854	1299850
1297854	1302512
1297854	1302977
1297854	5290705
1297923	1822266
1297942	1493669
1297952	1303987
1298003	1308743
1298051	1302648
1298155	1308034
1298272	1293147
1298272	1303482
1298272	1305283
1298272	1307404
1298272	1419547
1298278	1303196
1298278	1305180
1298278	1306564
1298278	1823410
1298278	1890784
1298382	26782656
1298391	1308034
1298603	1294159
1298623	1298623
1298623	1298623
1298623	1432824
1298623	1483445
1298623	1772424
1298644	1400665
1298712	1298898
1298712	1299782
1298712	1302681
1298712	1307906
1298712	2144584
1298846	1291847
1298846	1293098
1298846	1298846
1298846	1298846
1298846	2303845
1298846	26707077
1298871	1307371
1298898	1297854
1298898	1298712
1298898	1298898
1298898	1298898
1298898	1303203
1298898	1329962
1298898	1795594
1299035	1300265
1299035	1306133
1299035	1308345
1299035	1394470
1299035	3041806
1299035	3148571
1299036	1303913
1299036	1307331
1299036	1417370
1299036	27037539
1299036	6534064
1299048	1484760
1299048	2080133
1299048	2124718
1299120	2127388
1299374	1307906
1299374	1308587
1299374	1866131
1299374	1916516
1299374	4860078
1299782	1298712
1299782	1303203
1299782	1417304
1299782	25798448
1299782	6221409
1299828	1293315
1299828	1295675
1299828	1304009
1299828	1959778
1299828	4888094
1299843	1301185
1299850	1297854
1299884	2028870
1299998	1295570
1299998	1299998
1299998	1299998
1299998	1308035
1300265	1299035
1300265	1303835
1300265	1461066
1300265	2330215
1300265	4860078
1300303	2080133
1300359	1300359
1300359	1300359
1300359	1303203
1300359	1308587
1300359	1419416
1300359	2976123
1300389	1294713
1300389	1302904
1300389	1305197
1300389	1394470
1300389	1790577
1300453	1823410
1300508	1302360
1300508	2339415
1300572	1823410
1300575	2139418
1300741	1305355
1300741	1400665
1300741	1419547
1300741	1876081
1300741	1916516
1300785	1493669
1300785	1901822
1300883	2080422
1301022	1308034
1301034	3156600
1301105	1308722
1301155	1795594
1301168	2036118
1301185	1295570
1301185	1299843
1301185	1302441
1301185	1307374
1301185	1765623
1301222	1666889
1301283	1862185
1301381	26336253
1301873	1864740
1301881	1306392
1302101	1302101
1302101	1302101
1302101	1305440
1302101	1961963
1302101	2124718
1302101	2127388
1302170	1307456
1302197	2033962
1302339	1304820
1302360	1300508
1302360	1305440
1302360	2339415
1302360	3670447
1302360	6984061
1302389	1307740
1302389	1308912
1302389	1427343
