1000004	374	1	4
1000008	304	1	4
1000010	121	1	4
1000012	57	2	3
1000015	1178	2	4
1000022	27	2	4
1000045	8	1	5
1000048	6	2	4
1000050	8	1	8
1000051	13	2	3
1000053	34	1	3
1000055	6	2	3
1000057	245	2	3
1000061	236	2	3
1000065	34	1	7
1000066	8	1	3
1000067	87	2	4
1000068	6	2	3
1000069	8	2	6
1000072	43	2	4
1000078	54	1	6
1000086	827	2	7
1000087	14	1	4
1000088	95	2	3
1000090	120	1	3
1000091	96	2	7
1000094	6	2	3
1000098	8	1	5
1000104	8	1	5
1000106	112	1	4
1000108	6	2	4
1000111	5	2	5
1000115	43	1	5
1000125	308	2	4
1000126	45	2	4
1000147	1	1	4
1000149	8	2	7
1000154	147	1	3
1000157	27	1	5
1000163	1	1	3
1000165	106	1	5
1000166	26	1	4
1000167	8	2	5
1000169	23	1	6
1000170	59	1	4
1000171	90	2	5
1000175	8	2	8
1000178	8	1	4
1000179	6	2	2
1000191	44	2	4
1000193	1	1	7
1000194	6	2	5
1000195	20	1	5
1000198	224	2	4
1000201	37	1	4
1000204	23	2	3
1000208	492	2	4
1000212	6	2	3
1000217	317	1	4
1000218	156	2	5
1000221	15	2	2
1000242	202	1	4
1000244	37	2	7
1000248	31	1	5
1000257	237	1	4
1000263	9	2	4
1000268	305	2	2
1000272	8	2	4
1000287	8	1	4
1000290	20	1	6
1000296	37	1	4
1000348	69	2	7
1000351	205	1	7
1000354	78	2	4
1000365	8	2	8
1000373	3	2	4
1000374	14	1	7
1000378	42	1	4
1000379	465	2	4
1000382	91	1	7
1000388	13	2	4
1000391	55	1	5
1000393	8	1	7
1000395	1	1	7
1000397	356	2	6
1000403	1	1	2
1000410	13	2	7
1000415	3	1	6
1000420	8	1	6
1000425	439	2	6
1000429	27	2	4
1000442	676	2	4
1000471	492	2	4
1000473	8	2	5
1000491	409	1	5
1000499	164	2	6
1000525	115	1	4
1000533	13	1	7
1000537	399	1	5
1000538	1	1	7
1000544	8	1	6
1000548	135	1	5
1000567	3	1	4
1000570	13	1	4
1000574	6	1	6
1000576	8	1	3
1000584	78	1	7
1000606	401	2	5
1000634	6	1	6
1000643	410	2	4
1000649	8	1	5
1000676	13	1	7
1000681	23	1	3
1000698	122	2	6
1000702	550	1	6
1000705	13	2	4
1000706	13	1	9
1000707	58	2	7
1000718	187	2	9
1000743	14	1	4
1000746	22	1	5
1000762	78	1	3
1000771	229	1	5
1000790	768	2	6
1000810	612	1	4
1000824	70	1	3
1000851	540	1	8
1000856	27	1	8
1000879	486	2	5
1000903	1187	1	4
1000905	115	1	6
1000915	13	2	3
1000951	262	2	6
1000963	164	1	3
1001042	71	1	4
1001074	114	2	4
1001081	66	1	4
1001098	71	2	4
1001163	1	1	8
1001177	6	1	6
1001293	3	1	5
1001373	183	2	3
1001479	71	2	7
1001714	364	2	6
1001753	71	2	3
1001980	348	1	5
1002344	668	1	4
1002460	71	1	7
1002664	55	1	3
1002666	8	1	5
1002668	16	1	3
1002670	28	1	6
1002671	52	1	4
1002672	8	1	5
1002674	14	2	5
1002675	711	1	9
1002676	23	2	5
1002678	8	2	5
1002679	23	1	6
1002680	105	1	7
1002681	9	2	6
1002683	1	1	6
1002685	37	1	6
1002686	1	1	7
1002688	8	1	7
1002690	8	1	6
1002691	6	2	4
1002692	43	1	4
1002694	27	2	5
1002695	83	1	6
1002698	7	1	5
1002709	803	1	7
1002713	15	1	4
1002714	13	2	6
1002723	183	1	4
1002727	6	1	6
1002728	1	1	5
1002729	8	1	5
1002730	8	1	8
1002733	105	2	6
1002735	14	1	5
1002736	6	1	6
1002739	6	1	6
1002740	55	1	7
1002744	55	1	5
1002745	56	1	7
1002746	8	1	5
1002752	6	1	8
1002764	20	1	4
1002768	24	1	6
1002769	147	1	6
1002770	52	1	6
1002771	105	1	6
1002775	200	1	6
1002778	14	2	8
1002779	8	1	7
1002780	37	1	9
1002781	27	1	8
1002785	43	1	7
1002788	13	1	8
1002789	151	1	5
1002792	8	1	7
1002799	5	2	6
1002801	11	1	5
1002808	141	1	9
1002817	8	1	6
1002822	1	1	6
1002825	3	2	4
1002837	6	1	4
1002844	44	1	7
1002864	313	2	5
1002867	71	2	6
1002869	55	1	5
1002874	3	1	7
1002902	70	1	7
1002915	71	2	5
1002944	164	2	6
1002966	574	1	7
1002972	8	1	9
1003088	71	1	6
1003447	71	2	8
1003481	1023	2	3
1003482	838	1	4
1003485	8	2	3
1003487	13	2	4
1003493	13	1	6
1003500	71	1	7
1003523	343	1	6
1003525	226	1	8
1003530	3	1	7
1003625	841	1	5
1003627	71	1	5
1003678	107	1	8
1003724	71	1	7
1003737	344	1	7
1003755	71	1	6
1003779	340	2	7
1004356	71	2	9
